jahr;name;beschreibung;zahl;mh;daten;land;lat;lon;fehler;url;bild1;bild2;bild3;Strasse ;PLZ ;Ort;Anlagentyp
2011;Vitalhotel Simon, Bad Tatzmannsdorf;HB Hotelpool;47;m³/h;47 m³/h;AT;47.3367;16.2367;;;;;;;;;
2011;Schloß Murhof Großlobming;Wellness;60;m³/h;60 m³/h;AT;47.15;14.75;;;;;;;;;
2011;Therme Loipersdorf – Fun Park;Therme / Ansaugfilter;360;m³/h;360 m³/h;AT;47.0;16.0667;;;;;;;;;
2011;Universitätssportzentrum Szbg Rif, Hallein;HB;351;m³/h;351 m³/h;AT;47.7333;13.0667;;;;;;;;;
2011;Wellnesshotel Klosterbräu Fam. Seyrling, Seefeld;FB Whirlpool;80;m³/h;80 m³/h;AT;47.3306;11.1889;;;;;;;;;
2011;Reha Zentrum, Bad Schallerbach;Therapiebecken ;300;m³/h;300 m³/h;AT;48.2333;13.8167;;;;;;;;;
2011;Eurothermen Resort, Bad Schallerbach;Zubau FB / HB / Therme;677;m³/h;677 m³/h;AT;48.2333;13.8167;;;;;;;;;
2011;Loipersdorf Thermalquelle Funpark;FB / HB;180;m³/h;180 m³/h;AT;47.0;16.0667;;;;;;;;;
2011;Schloß Murhof Großlobming;HB;60;m³/h;60 m³/h;AT;47.15;14.75;;;;;;;;;
2011;Universitätssportzentrum Szbg Rif, Hallein;FB / HB;351;m³/h;351 m³/h;AT;47.7333;13.0667;;;;;;;;;
2011;SKA REHA Zentrum Großgmain;THB;70;m³/h;70 m³/h;AT;47.7333;12.9333;;;;;;;;;
2011;Burgenlandtherme, Bad Tatzmannsdorf;FB / HB Whirlpool;302;m³/h;302 m³/h;AT;47.3367;16.2367;;;;;;;;;
2011;Messequartier Graz;FB;58;m³/h;58 m³/h;AT;47.0614;15.4508;;;;;;;;;
2011;EurothermenResort, Bad Schallerbach;FB / HB Zubau Therme, WKL 1 Lagune außen 250 m³/h, Lagune innen 240 m³/h, Schwefelbecken 85 m³/h, WKL 2 Solebecken 41 m³/h, WKL 3 Kurbecken 61 m³/h, Aquapulco Ausbau, Attraktionsförderleistung 1300 m³/h;;; ;AT;48.2333;13.8167;;;;;;;;;
2011;REHA Zentrum Versicherungsanstalt, Bad Schallerbach ;THB 190 m³/h, Öffentlich Bediensteter, Bad Schallerbach Teilozon 60 m³/h;;; ;AT;48.2333;13.8167;;;;;;;;;
2012;SVA Klinikum Malcherhof ARGE - GWT – Berndorf;Edelstahlbecken 114 m², Wasseraufbereitung, Schwimmbecken 72 m³/h, Edelstahl- u. Bewegungsbecken 75 m³/h, Bewegungsbecken 80 m³/h, Schwefelwasseraufbereitung;;; ;AT;47.95;16.1125;;;;;;;;;
2012;Gesiba Bike & Swim;FB Dachterassenbad 250 m², Wasseraufbereitung Schwimmbecken 100 m³/h, Solaranlage 200 m²;;; ;AT;48.2265;16.3952;;;;;;;;;
2012;SPZ Korneuburg;Edelstahlbecken 12 m², Wasseraufbereitung 16 m³/h, Ozonanlage 16 m³/h;;; ;AT;48.3461;16.3256;;;;;;;;;
2012;MA 31 Wienerberg;Wasserpark;;; ;AT;48.1663;16.3598;;;;;;;;;
2012;Benjowskigasse ;FB Privatbecken  ;25;m³/h;25 m³/h;AT;48.2266;16.3581;;;;;;;;;
2012;Wattmanngasse - Haus W ;FB Privatbecken  ;25;m³/h;25 m³/h;AT;48.17946479505106;16.296005082015300;;;;;;Wattmanngasse 42;1130;Wien;Privatkunde Dr. Wolf
2012;Wohnpark Alt Erlaa;Erneuerung von 3 Dachbädern 120 m³/h, Technikraum;120;m³/h;120 m³/h;AT;48.1425;16.3128;;;;;;;;;
2012;Therme Wien – Vamed;Wasseraufbereitung Entschwefelung;;; ;AT;48.1475;16.4183;;;;;;;;;
2012;Ödenburgerstraße;Dachterassenbad, Schwimm- u. Kinderbecken 216 m³/h, Wasseraufbereitung Schwimmerbecken 80 m³/h, Wasseraufbereitung Kinderbecken 15 m³/h, Solaranlage 150 m²;;; ;AT;48.2876;16.4397;;;;;;;;;
2012;Wertheimsteinpark;FB Wohnhausanlage Wasseraufbereitung 50 m², Schwimmerbecken 18 m³/h;;; ;AT;48.2416;16.3555;;;;;;;;;
2012;Pittel + Brausewetter, Ebreichsdorf;Pumpstation Badeteich;;; ;AT;47.9619;16.3894;;;;;;;;;
2012;Felixdorf ;FB Schaltschankaustausch, Badewasseranlage;;; ;AT;47.9061;16.2625;;;;;;;;;
2012;Wohnpark Alt Erlaa  ;Sanierung Folienbecken ;;; ;AT;48.1425;16.3128;;;;;;;;;
2012;Sozialbau AG GU – Leistung WEG Carabelligasse;FB Sanierung Beckenanlage Folienbecken, Bauarbeiten;;; ;AT;48.2236;16.4034;;;;;;;;;
2012;GM Virgen;FB Sanierung Folienbecken;1250;m²;1250 m²;AT;46.9667;12.45;;;;;;;;;
2012;MA 34 Donauinsel;Brunnenanlage ;;; ;AT;48.2367;16.3972;;;;;;;;;
2012;TGA irakische Botschaft;Planung Schwimmbadtechnik;;; ;AT;48.2003;16.3794;;;;;;;;;
2012;WV südl. BGLD Rumpersdorf;Folienauskleidung Trinkwasserbehälter;500;m²;500 m²;AT;47.0833;16.5333;;;;;;;;;
2012;Rosarium Baden;Ausrüstung Zierbrunnen;;; ;AT;48.0051;16.235;;;;;;;;;
2012;MA 44 Alte Donau;FB Schaltschrankaustausch;;; ;AT;48.2367;16.4175;;;;;;;;;
2012;John Harris Fitnessstudio;HB Sanierung Badewasseranlage 148 m³/h, Wasserfläche gesamt, 147 m², Schwimmbecken 94 m³/h, Whirlpool 54 m³/h;148;m³/h;148 m³/h;AT;48.20196474536071;16.36384551539576;;;;;;;;;
;John Harris UNIQUA Vital Center;;;;;;48.21271447245247;16.38345936852332;;;;;;Untere Donaustrasse 21;1020;Wien;
;John Harris Am Margaretenplatz;;;;;;48.192434188553214;16.357790439686895;;;;;;Strobachgasse 7-9;1020;Wien;
;John Harris Donaupark;;;;;;48.31404011189158;14.299363697363239;;;;;;Unter Donaulände 21-25;4020;Linz;
;John Harris DC Tower Wien;;;;;;48.23186486447595;16.412860568524103;;;;;;Donau-City Strasse 7/2. Stock;1220;Wien;
2012;Stadionbad Wien autom.;Schwimmbadtechnik Endausbau ;;; ;AT;48.2047;16.4135;;;;;;;;;
2012;Messequartier Graz;HB;58;m³/h;58 m³/h;AT;47.0614;15.4508;;;;;;;;;
2012;SKA Bad Gastein;Umbau u. Sanierung Hallenbecken, Therapiebecken  ;115;m³/h;115 m³/h;AT;47.1167;13.1333;;;;;;;;;
2012;Hotel Bioterme, Mala Nedelja;Therme;154;m³/h;154 m³/h;SLO;46.5726;16.0457;;;;;;;;;
2012;Hotel Landhaus Moserhof Guntramsdorf ;Hotelpool;26;m³/h;26 m³/h;AT;48.0333;16.3167;;;;;;;;;
2012;Wine & Spa Resort Loisium Ehrenhausen;Hallen-/Freibecken  ;109;m³/h;109 m³/h;AT;46.7194;15.5539;;;;;;;;;
2012;Hotel Izvor Arandjelovac;Erweiterung Hotelpool  ;174;m³/h;174 m³/h;SRB;44.62;20.5756;;;;;;;;;
2012;Sonnentherme Lutzmannsburg;Therme - Ausbaustufe III;900;m³/h;900 m³/h;AT;47.4569;16.5117;;;;;;;;;
2012;UKH / Rehabzentrum Wien-Meidling;Therapiebecken ;186;m³/h;186 m³/h;AT;48.1704;16.3258;;;;;;;;;
2012;Warmbad Villach;HB / FB / Wellness  ;1180;m³/h;1180 m³/h;AT;46.6064;13.8383;;;;;;;;;
2012;Therme und Hotel in Stegersbach;Erweiterung Sauna u. Hotelbecken;60/60;m³/h;60/60 m³/h;AT;47.1667;16.1167;;;;;;;;;
2012;Parktherme Bad Radkersburg;Erweiterung Schwimmbadtechnik;160;m³/h;160 m³/h;AT;46.6886;15.9897;;;;;;;;;
2012;Badehaus Millstatt, Millstätter See;FB;68;m³/h;68 m³/h;AT;46.8096;13.5733;;;;;;;;;
2012;Thermenhotel Stoiser Loipersdorf;Erweiterung Hotel Bad  ;49;m³/h;49 m³/h;AT;46.98396;16.10989;;;;;;;;;
2012;Klinikum Theresienhof, Frohnleiten;Therapiebecken ;26;m³/h;26 m³/h;AT;47.3167;15.3167;;;;;;;;;
2012;Avita Exclusiv Bad Tatzmannsdorf;Außen- u. Innenbereich;231;m³/h;231 m³/h;AT;47.3367;16.2367;;;;;;;;;
2012;Grimmingtherme ;Energieoptimierung;;; ;AT;47.5489;13.9331;;;;;;;;;
2012;Kapfenberg;HB Energieoptimierung;;; ;AT;47.4436;15.2894;;;;;;;;;
2012;Avance Hotel, Bad Tatzmannsdorf;Warmsprudelbecken;209;m³/h;209 m³/h;AT;47.3367;16.2367;;;;;;;;;
2012;Hotel Reiterhof, Saalbach;FB – Saugfilter 140 m³/h, Granudos 45+, 2 Whirlpools - Saugfilter 60 m³/h;140;m³/h;140 m³/h;AT;47.3917;12.6361;;;;;;;;;
2012;Hotel Glemmtalerhof Hinterglemm;HB;35;m³/h;35 m³/h;AT;47.3789;12.5967;;;;;;;;;
2012;Otto Wagner Spital - REHA-Zentrum;Therapiebecken 100 m³/h, Erlebnisbecken 68 m³/h;100;m³/h;100 m³/h;AT;48.207;16.28020;;;;;;;;;
2012;Therme Längenfeld Aquadome;Zubau Panorama Whirlpool  ;80;m³/h;80 m³/h;AT;47.0722;10.9675;;;;;;;;;
2012;Kirchäcker Eisenstadt;FB Dachterassenbad;25;m³/h;25 m³/h;AT;47.8456;16.5303;Straße in Eisenstadt angenommen – kein Gebäude spezifiziert;;;;;;;;
2012;Parktherme Bad Radkersburg;Erweiterung Therme  ;160;m³/h;160 m³/h;AT;46.6886;15.9897;;;;;;;;;
2012;Badehaus Millstätter See;FB;68;m³/h;68 m³/h;AT;46.8096;13.5733;;;;;;;;;
2012;Thermenhotel Stoiser  ;Erweiterung Hotel Bad  ;49;m³/h;49 m³/h;AT;47.0;16.0667;;;;;;;;;
2012;Gemeinde Mauerkirchen;FB – Filterkesseltausch  ;550;m³/h;550 m³/h;AT;48.2;13.0667;;;;;;;;;
2012;Sonnentherme Lutzmannsburg;Ausbaustufe III  ;900;m³/h;900 m³/h;AT;47.4569;16.5117;;;;;;;;;
2012;SKA RZ St. Radegund;THB;120;m³/h;120 m³/h;AT;47.1833;15.4833;;;;;;;;;
2012;Gemeinde Rettenegg;HB;81;m³/h;81 m³/h;AT;47.4787;15.7043;;;;;;;;;
2012;Loisium Ehrenhausen;HB;109;m³/h;109 m³/h;AT;46.7194;15.5539;;;;;;;;;
2012;Therme Geinberg Luxussuiten;SPA Innen- u. Außenbecken Thermalwasseraufbereitung 224 m³/h, Massagebecken 336 m³/h;224;m³/h;224 m³/h;AT;48.2564;13.3089;;;;;;;;;
2012;LKH Salzburg Chirurgie West;THB;24;m³/h;24 m³/h;AT;47.8043;13.0306;;;;;;;;;
2012;Therme Stegersbach;Ying-Yang Außenbecken;105;m³/h;105 m³/h;AT;47.1667;16.1167;;;;;;;;;
2012;SKA Bad Gastein ;THB 65 m³/h, HB 48 m³/h;;; ;AT;47.1167;13.1333;;;;;;;;;
2012;Warmbad Villach;FB, HB 5 Wasserkreisläufe  ;1500;m³/h;1500 m³/h;AT;46.6064;13.8383;;;;;;;;;
2013;Hotel Palais Hansen, Schottenring;Neubau Schwimmbadtechnik  ;68;m³/h;68 m³/h;AT;48.2196;16.3698;;;;;;;;;
2013;ARWAG - Stadt des Kindes;Schwimmbadtechnik;78;m³/h;78 m³/h;AT;48.20673651723491;16.213601488540146;;;;;;Hofjägerstrasse 6;1140;Wien;HB
2013;Korneuburg - Florian Berndl Bad  ;HB / FB Schwimmbadtechnik Lehrschwimm- 1232 m³/h u. Kinderbecken Schwimmbecken Halle 105 m³/h, Erholungsbecken Freibad 155 m³/h, Kinderbecken Freibad 585 m³/h, Schwimmbecken Freibad 87 m³/h, Chlorgasanlage 300 m³/h, Solaranlage 8 kg/h, Folienauskleidung 1300 m², 1500 m²;;; ;AT;48.3453;16.3283;;;;;;;;;
2013;Therme Wien – Vamed;Be- u. Entlüftungskolonne für Tank;20;m³;20 m³;AT;48.1475;16.4183;;;;;;;;;
2013;Familypark St. Margarethen;Enthärtungsanlage;;; ;AT;47.8189;16.6047;;;;;;;;;
2013;Gesiba Hadikgasse  ;Sanierung Folierung  ;500;m²;500 m²;AT;48.1937;16.2831;;;;;;;;;
2013;HB Donaustadt  ;Austausch interner Fernwärmeleitun;;; ;AT;48.2514;16.4534;;;;;;;;;
2013;Lindenhofer Amstetten;HB;26;m³/h;26 m³/h;AT;48.116240;14.872160;;;;;;;;;
2013;Neulengbach;Umbau Wärmetauscher;;; ;AT;48.1964;15.8442;;;;;;;;;
2013;VS Sollenau  ;HB Sanierung 90 m³/h, Wasserfläche 143 m²;90;m³/h;90 m³/h;AT;47.8876;16.272;;;;;;;;;
2013;Nowak Mörbisch Planung;Privatbecken Planung;45;m²;45 m²;AT;47.7433;16.6864;Planungsbüro Mörbisch – Adresse nicht verifiziert;;;;;;;;
2013;Friedhöfe Wien;Austausch Steuerung;;; ;AT;48.1527;16.4611;;;;;;;;;
2013;Strobl Panoramahof;Planung Hotelbecken;;; ;AT;47.7189;13.4794;;;;;;;;;
2013;NUA Purgstall-Nord;Kunststoff-Rundbehälter, Verrohrung;;; ;AT;48.0494;15.0425;;;;;;;;;
2013;Dr. Pachleitner, Graz;Schwimmbadtechnik Privatbad;35;m³/h;35 m³/h;AT;47.0707;15.4395;;;;;;;;;
2013;Hapimag Gerlitzen;HB Badewasseranlage Sanierung;52;m³/h;52 m³/h;AT;46.6794;13.9133;;;;;;;;;
2013;Hotel Erzherzog Johann, Bad Aussee;HB / FB;56;m³/h;56 m³/h;AT;47.6117;13.7825;;;;;;;;;
2013;Therme Nova Köflach  ;Energieoptimierung Thermalbad;;; ;AT;47.0694;15.0922;;;;;;;;;
2013;SKA St. Radegund;Badewasseranlage Therapie- und Tretbecken;120;m³/h;120 m³/h;AT;47.1833;15.4833;;;;;;;;;
2013;Thalia neu, Graz;Innenpool  ;42;m³/h;42 m³/h;AT;47.0692;15.4427;John Harris Fitness Thalia Graz angenommen;;;;;;;;
2013;Narzissenbad Bad Aussee;HB / FB Warmsprudel Solebecken;409;m³/h;409 m³/h;AT;47.6119;13.7908;;;;;;;;;
2013;Hotel Werzer-Wallerwirt, Pörtschach;Hotel Bad;45;m³/h;45 m³/h;AT;46.6347;14.1383;;;;;;;;;
2013;Dorfhotel Fasching Fischbach;FB;25;m³/h;25 m³/h;AT;47.4664;15.6503;;;;;;;;;
2013;Schloßhotel Velden;Umbau SPA  ;77;m³/h;77 m³/h;AT;46.6111;14.0489;;;;;;;;;
2013;SKA RZ Bad Tatzmannsdorf;THB;;; ;AT;47.3367;16.2367;;;;;;;;;
2013;Hotel Erzherzog Johann, Bad Aussee;HB / FB ;56;m³/h;56 m³/h;AT;47.6117;13.7825;;;;;;;;;
2013;Bogner Chalets Priesteregg, Leogang;FB Granudos  ;30;m³/h;30 m³/h;AT;47.4283;12.7992;;;;;;;;;
2013;Hotel Avita Exklusiv, Bad Tatzmannsdorf;Außen- u. Innenbereich  ;231;m³/h;231 m³/h;AT;47.3367;16.2367;;;;;;;;;
2013;Sonnwendviertel Wien;HB Dachterrassenbad  ;45;m³/h;45 m³/h;AT;48.1777;16.3846;;;;;;;;;
2013;Rehabilitationszentrum Kitzbühel;THB Kneippbecken, Kneippgang kalt;63;m³/h;63 m³/h;AT;47.4467;12.3922;;;;;;;;;
2013;Versicherungsanstalt für Eisenbahn u. Bergbau Bad Schallerbach;THB;90;m³/h;90 m³/h;AT;48.2333;13.8167;;;;;;;;;
2013;Hallenbad Schweizertalstrasse;unterirdische Schwimmhalle;25;m³/h;25 m³/h;AT;48.1792;16.2692;;;;;;;;;
2013;Hallenbad Lindenhofer Amstetten;Badewasseraufbereitung;26;m³/h;26 m³/h;AT;48.1213;14.8728;;;;;;;;;
2013;Hallenbad Neulengbach;Sanierung Badewasseraufbereitung 239 m³/h, Neubau Wasserrutsche, Wasserfläche 276 m²;;; ;AT;48.1964;15.8442;;;;;;;;;
2013;GKK Graz Physio;Sanierung Badewasseranlage Wasserfläche 61 m³/h, 31 m²;61;m³/h;61 m³/h;AT;47.0707;15.4395;;;;;;;;;
2014;Cofely Austria Center;Sanierung Rohrleitungen;;; ;AT;48.234589;16.415033;Austria Center Vienna Umgebung angenommen – keine Adresse bekannt;;;;;;;;
2014;Freibad Neutal  ;Neubau Badewasseraufbereitung 475 m³/h, Sanierung Technikraum, Rutsche und Wasserspielplatz 620 m², Foliensanierung, Sanierung Sprungbecken 158 m²;475;m³/h;475 m³/h;AT;47.6133;16.4364;;;;;;;;;
2014;Wohnpark Alt Erlaa;Foliensanierung;500;m²;500 m²;AT;48.1425;16.3128;;;;;;;;;
2014;Wohnpark Berzeliusgasse;Foliensanierung ;230;m²;230 m²;AT;48.278315215560646;16.412949184767623;;;;;;Berzeliusgasse 14 / Stg. 53;1210;Wien;WHA Heinz Nittel Hof
2014;Carabelligasse ;Filtersanierung;90;m³/h;90 m³/h;AT;48.2236;16.4034;;;;;;;;;
2014;Schafbergbad;Beckenfolierung;250;m²;250 m²;AT;48.2283;16.3125;;;;;;;;;
2014;Hotel Therme Nova Köflach;Energieoptimierung;;; ;AT;47.0694;15.0922;;;;;;;;;
2014;Hallenbad Parkcottage St. Wolfgang;Neubau Badewasseraufbereitung;47;m³/h;47 m³/h;AT;47.7402;13.4467;;;;;;;;;
2014;SKA RZ Gröbming;Neubau Badewasseraufbereitung;178;m³/h;178 m³/h;AT;47.45;13.9333;;;;;;;;;
2014;SKA RZ Bad Aussee;Badewasseraufbereitung, Granulatdosierung 10 S4  ;160;m³/h;160 m³/h;AT;47.6119;13.7908;;;;;;;;;
2014;Eurothermen Resort, Bad Schallerbach – Aquapulco;Sanierung Ozonanlage;390;m³/h;390 m³/h;AT;48.2333;13.8167;;;;;;;;;
2014;Hallenbad Parkcottage St. Wolfgang;Neubau Badewasseraufbereitung;47;m³/h;47 m³/h;AT;47.7402;13.4467;;;;;;;;;
2014;Hallenbad Hotel Vollererhof, Puch bei Hallein;Neubau Badewasseraufbereitung, Gegenstromschwimmanlage, Edelstahlbecken;50;m³/h;50 m³/h;AT;47.683;13.1074;;;;;;;;;
2014;Rogner Therme Bad Blumau;Neubau Badewasseraufbereitung;275;m³/h;275 m³/h;AT;47.0786;16.0333;;;;;;;;;
2014;Hallenbad Medizinisches Zentrum Bad Vigaun;Neubau Badewasseraufbereitung;110;m³/h;110 m³/h;AT;47.6253;13.1264;;;;;;;;;
2014;Alpine Star 22;Neubau Badewasseraufbereitung;120;m³/h;120 m³/h;AT;48.2078;16.3992;;;;;;;;;
2014;Freibad Ragnitzbad;Neubau Badewasseraufbereitung 232 m³/h, Mehrzweckbecken (SB 83 m², NSB 399 m²), Kinderbecken 14 m²;;; ;AT;47.0833;15.4833;;;;;;;;;
2014;Erlebnisbad Puch;Neubau Solaranlage;;; ;AT;47.6833;13.1;;;;;;;;;
2014;Hallenbad Red Bull Nachwuchsakademie;Neubau Badewasseraufbereitung, Edelstahlbecken  ;120;m³/h;120 m³/h;AT;47.84292;13.00644;;;;;;;;;
2014;Therme Amadeé;Neubau Badewasseraufbereitung, Trichterrutsche  ;100;m³/h;100 m³/h;AT;47.3431;13.4617;;;;;;;;;
2014;Klosterneuburg Happyland;Neubau Badewasseraufbereitung  ;1130;m³/h;1130 m³/h;AT;48.3108;16.3261;;;;;;;;;
2014;Porr Aspern J9;Neubau Badewasseraufbereitung, Edelstahlbecken 79 m³/h, Solaranlage 157 m², 120 m²;;; ;AT;48.2404;16.4825;;;;;;;;;
2014;Gerstl Seestadt Aspern J2;Neubau Badewasseraufbereitung;49;m³/h;49 m³/h;AT;48.2361;16.5033;;;;;;;;;
2014;Swarovski Wattens;Neubau Black Pond Zierteich 80 m³/h, Wasserfläche 1600 m²;80;m³/h;80 m³/h;AT;47.2947;11.6067;;;;;;;;;
2014;Eurotherme Bad Schallerbach;Neubau Badewasseraufbereitung ;48;m³/h;48 m³/h;AT;48.2333;13.8167;;;;;;;;;
2014;SKA RZ Saalfelden;Neubau Badewasseraufbereitung;191;m³/h;191 m³/h;AT;47.4264;12.8433;;;;;;;;;
2015;Freibad St. Georgen an der Gusen;Neubau Badewasseraufbereitung, mit Sprungbecken;630;m³/h;630 m³/h;AT;48.2644;14.4661;;;;;;;;;
2015;Freibad Kremsmünster ;Sanierung Mess-und Regelung, Sanierung Chlordosierpumpen;;; ;AT;48.0533;14.1233;;;;;;;;;
2015;Trainingszentrum Leipzig Red Bull Betriebsanl. GmbH;Neubau Badewasseraufbereitung ;166;m³/h;166 m³/h;DE;51.3951;12.4064;;;;;;;;;
2015;Freibad Hargelsberg ;Sanierung Chlorgasdosieranlage;;; ;AT;48.14793664104472;14.419989591372577;;;;;;;;;
2015;Rehakliniken Johannesbad, Bad Füssing;Sanierung gesamte Schaltanlagen Bad 2, Filtersanierung, Sanierung 2x Salzsäuredosierung 3000 l;;; ;DE;48.3562;13.312;;;;;;;;;
2015;Freibad Oggau ;Badewasseraufbereitung, Sanierung der Wasserrutsche, Solaranlage;711;m³/h;711 m³/h;AT;47.8414;16.6631;;;;;;;;;
2015;Aspern Seestadt D4;Neubau Badewasseraufbereitung Edelstahlbecken;115;m³/h;115 m³/h;AT;48.2260;16.5061;;;;;;;;;
2015;Meidlinger Platz MA34;Neubau Brunnenanlage;35;m³/h;35 m³/h;AT;48.18;16.3347;;;;;;;;;
2015;Freibad GESIBA Heinz Nittel Hof;Filtersanierung;;; ;AT;48.2783;16.4158;;;;;;;;;
2015;Sozialbau Maygasse;Sanierung Badewasseraufbereitung  ;62;m³/h;62 m³/h;AT;48.1775;16.3239;;;;;;;;;
2015;Hallenbad Kapfenberg Sportzentrum  ;Sanierung Badewasseraufbereitung;125;m³/h;125 m³/h;AT;47.4452;15.2917;;;;;;;;;
2015;Eurothermen Resort, Bad Hall;Neubau Badewasseraufbereitung 15 m³/h, Desinfektion Nebeldüsen;;; ;AT;48.0386;14.2106;;;;;;;;;
2015;Eurothermen Resort, Bad Schallerbach  ;Neubau Relaxium, Kneippgang warm und kalt 5 m³/h, Whirlpool 30 m³/h;;; ;AT;48.2333;13.8167;;;;;;;;;
2015;Hallenbad Freizeitzentrum Axams;Sanierung Badewasseraufbereitung;65;m³/h;65 m³/h;AT;47.2356;11.2828;;;;;;;;;
2015;Alpenbad Mautern;Neubau Badewasseraufbereitung, inkl. Langrutsche    ;275;m³/h;275 m³/h;AT;47.4078;15.0044;;;;;;;;;
2015;Heiltherme Bad Waltersdorf;Neubau Badewasseraufbereitung;;; ;AT;47.1664;16.0336;;;;;;;;;
2015;Kinderwasserwelt Reiters Reserve;Neubau Spielpark Innen, Spielbach Außen;48;m³/h;48 m³/h;AT;47.3192;16.2028;;;;;;;;;
2015;Thermenhotel Stoiser;Sanierung Whirlpool  ;18;m³/h;18 m³/h;AT;47.0;16.0667;;;;;;;;;
2015;Kurzentrum Bad Hofgastein;Attraktionseinrichtungen für Dombeckenanlage;93;m³/h;93 m³/h;AT;47.1694;13.1036;;;;;;;;;
2015;Hallenbad NMS Stallhofen;Neubau Badewasseraufbereitung;45;m³/h;45 m³/h;AT;47.0489;15.2017;;;;;;;;;
2015;Teesdorf – Wien Süd;Neubau Badewasseraufbereitung Edelstahlbecken;122;m³/h;122 m³/h;AT;47.9643;16.3299;;;;;;;;;
2015;Alt Erlaa Wohnhaus;Filtersanierung 120 m³/h, Foliensanierung 250 m²;;; ;AT;48.1425;16.3128;;;;;;;;;
2015;SVT onkolog. REHAB, St. Veit im Pongau ;THB;49;m³/h;49 m³/h;AT;47.3939;13.1367;;;;;;;;;
2015;TZ Rosalienhof, Bad Tatzmannsdorf;Neubau Badewasseraufbereitung 41 m³/h, Aufbereitungsverfahren Flockung Filtration Ozon Oxidationsstufe im Vollstrom 70 gr/h;;; ;AT;47.3336;16.2333;;;;;;;;;
2015;Hallenbad Medizinisches Zentrum Bad Vigaun;Neubau Badewasseraufbereitung;110;m³/h;110 m³/h;AT;47.6253;13.1264;;;;;;;;;
2015;Hallenbad PCC Hotel Marriott ;Neubau Fliesenbecken;55;m³/h;55 m³/h;AT;48.1989;16.4131;;;;;;;;;
2016;Freibad Aschbach;Sanierung Kinderbecken ;22;m³/h;22 m³/h;AT;48.1008;15.0067;;;;;;;;;
2016;Freibad Club Pinguin;Granudos Messung u. Dosierung;;; ;AT;48.2625;16.4242;;;;;;;;;
2016;Freibad Austria Trend Hotel;Folienauskleidung  ;235;m²;235 m²;AT;48.1903;16.3758;;;;;;;;;
2016;Freibad Brunn am Gebirge;Sanierung Badewasseraufbereitung 45 m³/h und Beckenfolierung 106 m²;;; ;AT;48.1131;16.2878;;;;;;;;;
2016;Hotel Winterbauer, Flachau;Neubau Filteranlage  ;35;m³/h;35 m³/h;AT;47.3567;13.3906;;;;;;;;;
2016;Hotel Schlosspark Mesonic, Mauerbach;Neuabu, Badewasseraufbereitung;95;m³/h;95 m³/h;AT;48.2347;16.1597;;;;;;;;;
2016;Hotel Der Steirerhof, Bad Waltersdorf;Neubau Badewasseraufbereitung;150;m³/h;150 m³/h;AT;47.165;16.0283;;;;;;;;;
2016;Dr. Fabjan;Neubau Badewasseraufbereitung Massagebecken;15;m³/h;15 m³/h;AT;47.26708;11.39005;Klinik Dr. Fabjan in Portorož (SLO) angenommen – nichts in Österreich auffindbar;;;;;;;;
2016;Gipfelbad Riesneralm Bergbahnen;Neubau Badewasseraufbereitung;16;m³/h;16 m³/h;AT;47.385;13.4514;;;;;;;;;
2016;Hallenbad Sonnenhang Schladming;Neubau Badewasseraufbereitung;16;m³/h;16 m³/h;AT;47.3936;13.6933;;;;;;;;;
2016;Hotel Weinlandhof Gamlitz;Neubau Badewasseraufbereitung ;44;m³/h;44 m³/h;AT;46.7206;15.5903;;;;;;;;;
2016;Gartenhotel Linde;Neubau Badewasseraufbereitung;37;m³/h;37 m³/h;AT;47.0725;10.5986;;;;;;;;;
2016;Kaunertal Quellalpin;Sanierung Badewasseraufbereitung;347;m³/h;347 m³/h;AT;47.0289;10.7228;;;;;;;;;
2016;Hotel Lacknerhof / Flachau;Neubau Badewasseraufbereitung 261 m³/h, Free Style Rutsche, Triple Slide Rutsche, Magic Tube Rutsche;;; ;AT;47.3428;13.3931;;;;;;;;;
2016;Neufeldersee;Sanierung Drucksteigerungsanlage für Wasserrutsche;60;m³/h;60 m³/h;AT;47.8494;16.4842;;;;;;;;;
2016;Freibad Puchberg;Neubau Solaranlage;475;m²;475 m²;AT;47.7997;15.9203;;;;;;;;;
2016;Eurothermen Resort Bad Schallerbach ;Neubau Rutschentechnik ;150-250;m³/h;150-250 m³/h;AT ;48.2333;13.8167;;;;;;;;;
2016;SVA Wirtschaft HerzReha;Neubau Edelstahlbecken ;105;m³/h;105 m³/h;AT;48.1725;16.3108;;;;;;;;;
2016;Berndorf Centrelax;Neubau Wasserspielgarten mit 9 Attraktionen;15;m³/h;15 m³/h;AT;47.9544;15.9536;;;;;;;;;
2016;Donaustadt ;Neubau PV Anlage 25 kWp, Solaranlage 1050 m²;25;kWp;25 kWp;AT;48.2427645517301;16.443209410853505;;;;;;Portnergasse 38;1220;Wien;HB+SB
2016;Sonnentherme Lutzmannsburg;Sanierung Rutschenversorgungseinrichtungen, Filterdesinfektionsanlage;60;m³/h;60 m³/h;AT;47.4569;16.5117;;;;;;;;;
2016;Campus Baden ;Neubau Badewasseraufbereitung Edelstahlbecken;70;m³/h;70 m³/h;AT;48.0069;16.2308;;;;;;;;;
2016;Johannesbad Klinik Furth im Wald GmbH & Co KG;Sanierung Filterbehälter;71;m³/h;71 m³/h;DE;49.3108;12.8414;;;;;;;;;
