jahr;name;beschreibung;zahl;mh;daten;land;lat;lon;fehler;url;bild1;bild2;bild3;Strasse ;PLZ ;Ort;Anlagentyp
1998;Kongreßbad;FB Kinderbecken;310;m³/h;310 m³/h;AT;48.222;16.3117;;;;;;;;;
1999;Römertherme Baden;HB;787;m³/h;787 m³/h;AT;48.0061;16.2319;;;;;;;;;
1999;Bundesblindeninst. Wien;HB;180;m³/h;180 m³/h;AT;48.2406;16.3648;;;;;;;;;
1999;Voitsberg;FB;560;m³/h;560 m³/h;AT;47.0408;15.15;;;;;;;;;
1999;Schrems;HB;55;m³/h;55 m³/h;AT;48.8465;15.0769;;;;;;;;;
1999;Floridsdorf;HB;57;m³/h;57 m³/h;AT;48.27;16.4;;;;;;;;;
1999;Gänsehäufl;FB Solaranlage;;; ;AT;48.1965;16.4324;;;;;;;;;
1999;Spitz / Donau;FB Erlebnis- u. Kinderbecken;236;m³/h;236 m³/h;AT;48.3683;15.4207;;;;;;;;;
1999;Mödling;FB Erlebnis- u. Kinderbecken ;328;m³/h;328 m³/h;AT;48.0842;16.2852;;;;;;;;;
1999;Neunkirchen;FB Kinderbecken ;90;m³/h;90 m³/h;AT;47.7225;16.0783;;;;;;;;;
1999;Gaming;FB Kinderbecken;50;m³/h;50 m³/h;AT;47.8656;15.0791;;;;;;;;;
1999;Klein St. Paul;FB Rutschenzielbecken;60;m³/h;60 m³/h;AT;46.886;14.556;;;;;;;;;
1999;Biedermannsdorf;HB Saunatauchbecken / Frischwasserzusatz;;m³/h; m³/h;AT;48.0916;16.3676;;;;;;;;;
1999;Hotel Marienhof / Reichenau;HB Schwimmerbecken  ;56;m³/h;56 m³/h;AT;47.71;15.829;;;;;;;;;
2000;EWB Penzing;HB Aufbereitung Attraktionen Einbau von Attraktionen   ;150;m³/h;150 m³/h;AT;48.210893;16.004153;;;;;;;;;
2000;Krankenhaus Krems;HB Therapiebecken  ;34;m³/h;34 m³/h;AT;48.410292;15.597368;;;;;;;;;
2000;Schule Himberg;HB Schwimmerbecken  ;23;m³/h;23 m³/h;AT;48.080454;16.436977;;;;;;;;;
2000;Kaiserhof Bad Gastein;HB;165;m³/h;165 m³/h;AT;47.114495;13.135265;;;;;;;;;
2000;Amstetten;HB / FB;900;m³/h;900 m³/h;AT;48.120326;14.875242;;;;;;;;;
2000;Eichgraben;FB;380;m³/h;380 m³/h;AT;48.1729161;15.9850708;;;;;;;;;
2000;Jennersdorf;FB;1100;m³/h;1100 m³/h;AT;46.9371733;16.1412906;;;;;;;;;
2000;Arosa;HB;100;m³/h;100 m³/h;AT;46.7797248;9.6781356;;;;;;;;;
2000;Großfeldsiedlung;HB;14;m³/h;14 m³/h;AT;48.2710952;16.4478821;;;;;;;;;
2000;Sauna Leobersdorf;Tauchbecken ;23;m³/h;23 m³/h;AT;47.9285336;16.216666;;;;;;;;;
2000;Holmes Place, Office Center;HB;158;m³/h;158 m³/h;AT;48.2135381;16.3675553;;;;;;;;;
2000;Mistelbach;FB Sportbecken;165;m³/h;165 m³/h;AT;48.5694535;16.5720327;;;;;;;;;
2000;Ybbsitz ;FB Mehrzweck- u. Kinderbecken;419;m³/h;419 m³/h;AT;47.9479529;14.8952028;;;;;;;;;
2000;Purkersdorf;FB Sport-,Sprung-, Erlebnis- u. Kinderbecken;520;m³/h;520 m³/h;AT;48.2076724;16.1772068;;;;;;;;;
2000;Öst. Nationalbank;FB Mehrzweck- u. Kinderbecken;320;m³/h;320 m³/h;AT;48.21790313720703;16.35576057434082;;;;;;;;;
2000;Parkbad Seebenstein;FB Schwimmbecken;50;m³/h;50 m³/h;AT;47.701820373535156;16.147415161132812;;;;;;;;;
2000;Berg im Drautal;FB;175/196;m³/h;175/196 m³/h;AT;46.7448342;13.1294542;;;;;;;;;
2000;Donawitz Werksbad;HB;290;m³/h;290 m³/h;AT;47.3752711;15.0719828;;;;;;;;;
2000;Ajdovcina;Therapiebecken mit Ozon;100;m³/h;100 m³/h;SLO;45.885644;13.907360;;;;;;;;;
2000;Riegersburg Badesee;Wasserfläche 1,5 ha;150;m³/h;150 m³/h;AT;47.0008318;15.9359762;;;;;;;;;
2000;Ehrwald ;HB;331;m³/h;331 m³/h;AT;47.3986534;10.9205046;;;;;;;;;
2000;Kötschach – Mauthen;HB, FB;207, 212;m³/h;207, 212 m³/h;AT;46.6784661;13.004364;;;;;;;;;
2000;Rehab - Zentrum Tobelbad;HB Schwimmbadtechnik – Sanierung;;; ;AT;46.9808952;15.3658501;;;;;;;;;
2000;Eisenerz;FB Sanierung;150;m³/h;150 m³/h;AT;47.5420788;14.8857099;;;;;;;;;
2000;Parktherme Bad Radkersburg;Kinderbecken Erweiterung;24;m³/h;24 m³/h;AT;46.6880556;15.9880546;;;;;;;;;
2000;UKH Graz;HB Schwimmbadteich Sanierung;70;m³/h;70 m³/h;AT;47.0787907;15.3972823;;;;;;;;;
2000;"Hotel ""Der Steirerhof“, Bad Waltersdorf";HB;140;m³/h;140 m³/h;AT;47.168506;16.0088882;;;;;;;;;
2000;Karlsbad Therme 2;Thermalwasseraufbereitung;;; ;AT;50.2306216;12.8701437;;;;;;;;;
2000;Merkur - Privatklinik Graz;Therapiebecken;24;m³/h;24 m³/h;AT;47.08389206108212;15.442020588012578;;;;;;;;;
2000;Lendava;Therme 150;;; ;SLO;46.5639639;16.4526468;;;;;;;;;
2000;Warmbaderhof Warmbad Villach;FB Sanierung;115;m³/h;115 m³/h;AT;46.5885521;13.825993;;;;;;;;;
2000;Warmbaderhof Warmbad Meerwasserbrandungsbad;HB Sanierung;46;m³/h;46 m³/h;AT;53.86878;8.698286;;;;;;;;;
2000;Cuxhaven;FB;1670;m³/h;1670 m³/h;DE;47.5642319;13.3460333;;;;;;;;;
2000;Abtenau;FB Erlebnis-, Sport- u. Kinderbecken  ;650;m³/h;650 m³/h;AT;48.2288254;16.3305212;;;;;;;;;
2000;Hans Radel Schule;FB Therapiebecken  ;45;m³/h;45 m³/h;AT;47.8298068;13.0252286;;;;;;;;;
2001;Stadt Salzburg Magistrat;Schwimmbadtechnik- Aufbereitung;690/320;m³/h;690/320 m³/h;AT;47.8735531;16.3873762;;;;;;;;;
2001;Neufelder See;Beregnungsanlage;;; ;AT;48.0076713;16.2343693;;;;;;;;;
2001;RSKA Baden;Therapiebad;120;m³/h;120 m³/h;AT;47.0499925;16.0816815;;;;;;;;;
2001;Fürstenfeld;FB;35;m³/h;35 m³/h;AT;48.2199827;16.3478824;;;;;;;;;
2001;RSKA Baden;Therapiebad;120;m³/h;120 m³/h;AT;48.0076713;16.2343693;;;;;;;;;
2001;AKH;HB;50;m³/h;50 m³/h;AT;46.9930883;15.207952;;;;;;;;;
2001;GKK Baden;HB;75;m³/h;75 m³/h;AT;48.1970124;15.907098;;;;;;;;;
2001;Ligist;FB Erlebnis-, Sport- Kinderbecken  ;441;m³/h;441 m³/h;AT;47.0692774;15.4321103;;;;;;;;;
2001;Neulengbach;FB Erlebnis-, Sport u. Kinderbecken  ;526;m³/h;526 m³/h;AT;47.0692774;15.4321103;;;;;;;;;
